epoch,total,cell,neighborhood,cell_recon,niche_recon,cell_vq,niche_vq,cell_perplexity,neighborhood_perplexity,cell_active_codes,neighborhood_active_codes,cell_usage_gini,neighborhood_usage_gini,cell_usage_entropy_norm,neighborhood_usage_entropy_norm,learning_rate,grad_norm,val_total,epoch_seconds,cells_per_second
11,2.095522701740265,1.0245060622692108,1.0710166692733765,0.7263513654470444,0.7379498332738876,0.29815468937158585,0.3330668434500694,48.341450691223145,11.847755908966064,58.0,15.0,0.33181556748466257,0.32793328220858897,0.9357591469400344,0.8923009408991671,0.0003,1.0522373616695404,,0.072,108471.52
12,1.9963338077068329,0.9882840812206268,1.0080497115850449,0.7105303555727005,0.7318854182958603,0.2777537330985069,0.27616431564092636,49.397756576538086,12.551922082901001,60.0,16.0,0.3093446446830266,0.2844133435582823,0.9409061292143718,0.9140363492638645,0.0003,1.1030751317739487,,0.072,108415.75
13,1.9088642299175262,0.9434765428304672,0.9653877019882202,0.6968322843313217,0.7250964790582657,0.2466442473232746,0.24029121547937393,50.643136978149414,13.00274920463562,63.0,16.0,0.2940152096114519,0.240446063394683,0.9470782907799862,0.9272052492388473,0.0003,0.9278176426887512,,0.155,50412.87
14,1.8416957557201385,0.8997672498226166,0.9419285207986832,0.68504498898983,0.7189979702234268,0.21472226083278656,0.22293054684996605,52.25397205352783,13.217623949050903,64.0,16.0,0.27936078093047034,0.23052466768916147,0.9540380234764173,0.932171376891299,0.0003,1.0524103492498398,,0.075,103661.44
15,1.761416107416153,0.8697471767663956,0.8916689157485962,0.6735422760248184,0.7159325480461121,0.19620489329099655,0.17573636770248413,52.897698402404785,13.882458448410034,64.0,16.0,0.28216065950920255,0.2107617586912065,0.9574286119798898,0.953121900341409,0.0003,1.3236178755760193,,0.075,104973.45
16,1.6424880921840668,0.8130546063184738,0.8294334709644318,0.6630410104990005,0.7104563862085342,0.15001360327005386,0.11897708103060722,55.21613121032715,14.688337802886963,64.0,16.0,0.2506310710633948,0.1465203220858895,0.9674031473376528,0.9722473229076087,0.0003,0.9216726720333099,,0.078,100497.08
17,1.6018334925174713,0.7735310196876526,0.8283025026321411,0.6538952589035034,0.7051878869533539,0.11963575705885887,0.12311461940407753,57.37447738647461,14.601647138595581,63.0,16.0,0.2014674399284253,0.17984726482617597,0.9765416600442096,0.9680789567601867,0.0003,0.7938181757926941,,0.078,100273.48
18,1.5648786425590515,0.7470711767673492,0.8178074508905411,0.6462969034910202,0.700018510222435,0.10077428072690964,0.11778894998133183,59.06452178955078,14.671836853027344,64.0,16.0,0.16949050996932513,0.16685838445807777,0.9840901743656367,0.9695413771887411,0.0003,0.7429415732622147,,0.075,104067.93
19,1.525786578655243,0.7254070490598679,0.8003794997930527,0.6399638950824738,0.696357786655426,0.08544315211474895,0.10402171686291695,59.85548782348633,14.884677410125732,64.0,16.0,0.1659317484662577,0.12063842024539873,0.9865752081667298,0.9749007831908688,0.0003,0.563032403588295,,0.078,100792.5
20,1.5091244578361511,0.7106847763061523,0.7984396517276764,0.6328858286142349,0.6933937072753906,0.07779894210398197,0.10504595376551151,60.28105926513672,14.865410089492798,64.0,15.0,0.14433953220858897,0.1218366564417177,0.9886870708548153,0.9743268022027007,0.0003,0.5587292835116386,,0.078,100820.41
